feature,mean_abs_shap
BUREAU_DAYS_CREDIT_ENDDATE_SUM,0.007409528501639619
TOTALAREA_MODE,0.00732181801630096
BUREAU_DAYS_CREDIT_MIN,0.007286256693540794
WALLSMATERIAL_MODE_Stone__brick,0.0072283037200511005
PREV_RATE_DOWN_PAYMENT_MAX,0.007178103551768141
PREV_DAYS_DECISION_MIN,0.0071742473734359435
PREV_DAYS_FIRST_DUE_MAX,0.007109713318691962
PREV_AMT_APPLICATION_MEAN,0.0070895185092026535
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.00707911578679904
PREV_RATE_DOWN_PAYMENT_MEAN,0.007051559639157669
PREV_AMT_APPLICATION_MAX,0.006974012907680944
ORGANIZATION_TYPE_Industry__type_9,0.006876227444292664
PREV_DAYS_FIRST_DUE_SUM,0.006790663249436085
AMT_INCOME_TOTAL,0.006222961386100622
NAME_HOUSING_TYPE_House_/_apartment,0.006127210376923103
PREV_HOUR_APPR_PROCESS_START_MEAN,0.006092802195705078
INST_NUM_INSTALMENT_VERSION_COUNT,0.006049765132899181
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,0.005987288907114468
BUREAU_DAYS_CREDIT_UPDATE_SUM,0.005754756565486946
BUREAU_DAYS_CREDIT_ENDDATE_MIN,0.005674756106782016
ORGANIZATION_TYPE_Bank,0.005655116813366927
OCCUPATION_TYPE_Medicine_staff,0.005628740672542077
INST_DAYS_LATE_MEAN,0.005582781111250547
BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.005561054392635957
PREV_AMT_GOODS_PRICE_MEAN,0.0055237625934156055
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00547086379356787
PREV_AMT_CREDIT_MEAN,0.005447348189005074
BUREAU_DAYS_CREDIT_UPDATE_MIN,0.005329890889707568
INST_NUM_INSTALMENT_VERSION_MAX,0.00531875073117699
BUREAU_DAYS_ENDDATE_FACT_SUM,0.005163947637342327
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.005149791321075869
PREV_DAYS_TERMINATION_SUM,0.005012611412359515
WALLSMATERIAL_MODE_Panel,0.0049581930386156554
PREV_AMT_DOWN_PAYMENT_MEAN,0.004918673382540073
APARTMENTS_MEDI,0.004875674346102059
NAME_FAMILY_STATUS_Single_/_not_married,0.004847541358873817
PREV_CNT_PAYMENT_SUM,0.004839878435008614
YEARS_BEGINEXPLUATATION_MEDI,0.004786543490766158
PREV_DAYS_LAST_DUE_MEAN,0.004754000378675571
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.004730169331182949
DEF_60_CNT_SOCIAL_CIRCLE,0.004669784691033821
BUREAU_DAYS_ENDDATE_FACT_MIN,0.004617511424076311
INST_DAYS_INSTALMENT_MEAN,0.004611486297972828
BUREAU_BB_MONTHS_BALANCE_SUM_MIN,0.004564124723500903
PREV_DAYS_DECISION_MAX,0.004557553577042828
FLAG_DOCUMENT_16,0.004518733705041707
BUREAU_DAYS_CREDIT_ENDDATE_COUNT,0.0044506103371115295
PREV_DAYS_DECISION_MEAN,0.004350545600344186
PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,0.004106679487357377
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,0.004059948188685663
ORGANIZATION_TYPE_Medicine,0.003951251194431854
PREV_HOUR_APPR_PROCESS_START_SUM,0.003889868906557872
ORGANIZATION_TYPE_Construction,0.0038765713672535645
INST_DAYS_ENTRY_PAYMENT_MEAN,0.0038584108752233695
PREV_SELLERPLACE_AREA_MIN,0.0038231391530499457
APARTMENTS_AVG,0.003814946629430038
