feature,gain
TOTALAREA_MODE,8196.440683364868
PREV_DAYS_DECISION_MEAN,7933.100677490234
INST_AMT_INSTALMENT_MEAN,7866.871097564697
INCOME_PER_PERSON,7638.939786911011
PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,7619.155326843262
INST_NUM_INSTALMENT_NUMBER_MAX,7525.665830612183
PREV_DAYS_DECISION_SUM,7464.657741546631
BUREAU_DAYS_CREDIT_ENDDATE_MIN,7450.264217376709
INST_DAYS_INSTALMENT_MEAN,7447.373676300049
BUREAU_DAYS_CREDIT_UPDATE_MIN,7414.54522895813
PREV_AMT_GOODS_PRICE_MEAN,7408.946895599365
PREV_SELLERPLACE_AREA_MIN,7387.562892913818
PREV_DAYS_TERMINATION_SUM,7303.59517288208
AMT_INCOME_TOTAL,7246.041793823242
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,7122.767551422119
PREV_RATE_DOWN_PAYMENT_MEAN,6735.410774230957
PREV_DAYS_DECISION_MIN,6633.747386932373
PREV_DAYS_LAST_DUE_MEAN,6364.179983139038
PREV_HOUR_APPR_PROCESS_START_SUM,6286.365180969238
OCCUPATION_TYPE_Core_staff,6234.362907409668
PREV_AMT_CREDIT_MEAN,6222.81488609314
PREV_AMT_APPLICATION_MAX,6090.467979431152
BUREAU_BB_MONTHS_BALANCE_SUM_MIN,6060.365516662598
PREV_RATE_DOWN_PAYMENT_MIN,6026.248802185059
PREV_DAYS_TERMINATION_MIN,5997.622705936432
INST_NUM_INSTALMENT_VERSION_COUNT,5986.4424114227295
PREV_DAYS_LAST_DUE_MIN,5943.483270645142
LIVINGAREA_MEDI,5883.279960632324
NAME_CONTRACT_TYPE_Revolving_loans,5872.664524078369
REG_CITY_NOT_LIVE_CITY,5753.806015014648
LIVINGAREA_AVG,5743.437282562256
LIVINGAREA_MODE,5740.01131439209
BUREAU_DAYS_ENDDATE_FACT_SUM,5662.141994476318
BUREAU_AMT_CREDIT_SUM_LIMIT_COUNT,5644.455295562744
PREV_DAYS_FIRST_DUE_MIN,5639.194705963135
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,5622.955699920654
PREV_DAYS_LAST_DUE_MAX,5554.361614227295
APARTMENTS_MODE,5523.576499938965
PREV_AMT_CREDIT_MAX,5492.365587234497
PREV_AMT_GOODS_PRICE_MAX,5284.8063316345215
BUREAU_AMT_ANNUITY_MEAN,5209.074787139893
YEARS_BEGINEXPLUATATION_AVG,5201.5991859436035
LIVINGAPARTMENTS_MEDI,5098.036689758301
LIVINGAPARTMENTS_MODE,5063.150096893311
COMMONAREA_MODE,5040.905090332031
PREV_DAYS_TERMINATION_MEAN,5004.91828918457
PREV_AMT_CREDIT_SUM,4991.666208267212
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,4839.834503173828
BUREAU_AMT_ANNUITY_MAX,4800.976808547974
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,4669.467800140381
HOUR_APPR_PROCESS_START,4665.746292114258
BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,4583.834197998047
YEARS_BEGINEXPLUATATION_MEDI,4531.290912628174
BUREAU_BB_MONTHS_BALANCE_COUNT_MAX,4518.895082473755
BASEMENTAREA_AVG,4511.060987472534
INST_NUM_INSTALMENT_VERSION_MAX,4492.97350692749
APARTMENTS_AVG,4480.268365859985
PREV_DAYS_FIRST_DRAWING_MIN,4417.913089752197
OCCUPATION_TYPE_Drivers,4406.349647521973
NONLIVINGAREA_AVG,4332.332565307617
PREV_HOUR_APPR_PROCESS_START_MAX,4211.375686645508
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,4197.577896118164
PREV_HOUR_APPR_PROCESS_START_MIN,4135.215015411377
LANDAREA_AVG,4087.3411769866943
NONLIVINGAREA_MEDI,4004.63370513916
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,3956.1896896362305
LANDAREA_MODE,3917.2117252349854
BASEMENTAREA_MEDI,3913.16300201416
BUREAU_BB_MONTHS_BALANCE_COUNT_MEAN,3876.547706604004
PREV_AMT_DOWN_PAYMENT_MIN,3868.372398376465
PREV_AMT_APPLICATION_SUM,3841.8269081115723
YEARS_BEGINEXPLUATATION_MODE,3710.140121459961
ORGANIZATION_TYPE_Industry__type_9,3603.8247814178467
NAME_INCOME_TYPE_State_servant,3597.4634132385254
ORGANIZATION_TYPE_Self-employed,3561.077896118164
APARTMENTS_MEDI,3541.653606414795
PREV_AMT_APPLICATION_MIN,3538.918285369873
FLOORSMAX_AVG,3515.982967376709
DEF_60_CNT_SOCIAL_CIRCLE,3495.918291091919
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,3430.0888118743896
BUREAU_BB_MONTHS_BALANCE_COUNT_SUM,3427.5468769073486
PREV_AMT_CREDIT_MIN,3423.529411315918
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,3358.8380813598633
OBS_60_CNT_SOCIAL_CIRCLE,3331.140188217163
COMMONAREA_AVG,3324.0834922790527
YEARS_BUILD_AVG,3212.8830032348633
PREV_CNT_PAYMENT_MIN,3110.486099243164
COMMONAREA_MEDI,3028.246196746826
INST_PAYMENT_DIFF_MIN,3025.153190612793
ENTRANCES_AVG,3005.182403564453
ORGANIZATION_TYPE_School,2996.78621673584
BUREAU_BB_MONTHS_BALANCE_MEAN_MIN,2972.2115173339844
BUREAU_BB_MONTHS_BALANCE_SUM_SUM,2930.5615882873535
FLAG_WORK_PHONE,2921.500820159912
YEARS_BUILD_MODE,2890.9141235351562
FLAG_DOCUMENT_18,2878.504613876343
BUREAU_BB_MONTHS_BALANCE_MIN_MAX,2865.4172172546387
BUREAU_BB_MONTHS_BALANCE_COUNT_MIN,2851.564498901367
REGION_RATING_CLIENT,2843.5173263549805
INST_NUM_INSTALMENT_NUMBER_COUNT,2793.5263137817383
BUREAU_BB_MONTHS_BALANCE_SUM_MEAN,2769.373001098633
PREV_DAYS_TERMINATION_MAX,2746.270309448242
BUREAU_BB_MONTHS_BALANCE_MAX_MIN,2711.9836082458496
NONLIVINGAREA_MODE,2698.273494720459
AMT_REQ_CREDIT_BUREAU_MON,2694.1155891418457
AMT_REQ_CREDIT_BUREAU_YEAR,2658.397804260254
OBS_30_CNT_SOCIAL_CIRCLE,2608.283889770508
BUREAU_DAYS_ENDDATE_FACT_COUNT,2585.9354934692383
BASEMENTAREA_MODE,2572.358917236328
ORGANIZATION_TYPE_Construction,2537.706007003784
LIVINGAPARTMENTS_AVG,2504.3786125183105
BUREAU_DAYS_CREDIT_ENDDATE_COUNT,2499.1727027893066
PREV_REFUSED_COUNT,2483.720687866211
FLOORSMIN_AVG,2314.524589538574
ORGANIZATION_TYPE_Business_Entity_Type_3,2255.989803314209
BUREAU_BB_MONTHS_BALANCE_MEAN_MAX,2193.584800720215
NONLIVINGAPARTMENTS_AVG,2048.128391265869
BUREAU_DAYS_CREDIT_COUNT,1970.4367027282715
PREV_APPROVED_COUNT,1918.8795776367188
BUREAU_BB_MONTHS_BALANCE_MIN_SUM,1881.2124862670898
NONLIVINGAPARTMENTS_MODE,1873.0368881225586
LANDAREA_MEDI,1804.3274002075195
ELEVATORS_AVG,1768.0123100280762
BUREAU_AMT_CREDIT_SUM_DEBT_COUNT,1738.4073753356934
WALLSMATERIAL_MODE_Panel,1717.0831031799316
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,1687.2921962738037
ORGANIZATION_TYPE_Kindergarten,1682.178997039795
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,1681.7680053710938
ORGANIZATION_TYPE_Bank,1640.15771484375
ENTRANCES_MODE,1632.2449989318848
BUREAU_BB_MONTHS_BALANCE_MIN_MIN,1620.3512954711914
NAME_HOUSING_TYPE_House_/_apartment,1604.949296951294
OCCUPATION_TYPE_Laborers,1558.1699981689453
ORGANIZATION_TYPE_Police,1544.69460105896
FLOORSMIN_MEDI,1532.7089195251465
FLAG_OWN_CAR_N,1531.5680236816406
YEARS_BUILD_MEDI,1528.583309173584
BUREAU_AMT_CREDIT_MAX_OVERDUE_COUNT,1517.6902084350586
BUREAU_BB_MONTHS_BALANCE_SUM_MAX,1423.5684089660645
BUREAU_AMT_ANNUITY_MIN,1408.399398803711
INST_IS_LATE_SUM,1397.7437934875488
FLOORSMAX_MODE,1376.651195526123
ENTRANCES_MEDI,1332.4369888305664
NONLIVINGAPARTMENTS_MEDI,1315.9206886291504
PREV_AMT_GOODS_PRICE_SUM,1238.659797668457
ORGANIZATION_TYPE_Realtor,1236.4616107940674
BUREAU_AMT_ANNUITY_SUM,1164.724105834961
OCCUPATION_TYPE_Accountants,1162.2530059814453
FLAG_DOCUMENT_16,1138.797986984253
WALLSMATERIAL_MODE_Stone__brick,1118.078908920288
ORGANIZATION_TYPE_Transport__type_3,1088.3439922332764
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1079.093801498413
BUREAU_BB_MONTHS_BALANCE_MAX_SUM,1078.313404083252
FLAG_PHONE,1073.5302982330322
BUREAU_BB_MONTHS_BALANCE_MEAN_SUM,1072.4219932556152
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,1057.0463962554932
NAME_HOUSING_TYPE_Office_apartment,1047.22269821167
PREV_NFLAG_INSURED_ON_APPROVAL_SUM,1019.8168029785156
ORGANIZATION_TYPE_Military,992.4034156799316
FLOORSMAX_MEDI,957.6881904602051
PREV_AMT_ANNUITY_COUNT,954.6144981384277
ORGANIZATION_TYPE_Security_Ministries,938.478006362915
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,919.4540061950684
FLAG_OWN_REALTY_N,898.4314022064209
PREV_AMT_APPLICATION_COUNT,880.4949913024902
PREV_AMT_DOWN_PAYMENT_COUNT,867.7833137512207
LIVE_CITY_NOT_WORK_CITY,813.9622001647949
AMT_REQ_CREDIT_BUREAU_WEEK,798.9506988525391
BUREAU_BB_MONTHS_BALANCE_MEAN_COUNT,790.8991966247559
ORGANIZATION_TYPE_Medicine,789.801908493042
BUREAU_CNT_CREDIT_PROLONG_MAX,777.3387985229492
PREV_DAYS_FIRST_DRAWING_COUNT,738.7050018310547
CNT_FAM_MEMBERS,722.7160911560059
OCCUPATION_TYPE_High_skill_tech_staff,708.7187995910645
FLOORSMIN_MODE,690.9414024353027
INST_DAYS_INSTALMENT_COUNT,650.6152992248535
BUREAU_BB_MONTHS_BALANCE_MAX_MAX,637.0306053161621
ELEVATORS_MODE,635.4191055297852
NAME_INCOME_TYPE_Commercial_associate,634.4564056396484
ORGANIZATION_TYPE_Trade__type_2,620.9989051818848
WEEKDAY_APPR_PROCESS_START_SUNDAY,618.8362064361572
NAME_FAMILY_STATUS_Single_/_not_married,617.2072982788086
ELEVATORS_MEDI,604.2761993408203
OCCUPATION_TYPE_Medicine_staff,593.7447910308838
INST_NUM_INSTALMENT_VERSION_MIN,537.7010040283203
WEEKDAY_APPR_PROCESS_START_SATURDAY,537.0953063964844
PREV_AMT_GOODS_PRICE_COUNT,530.0214996337891
FLAG_DOCUMENT_13,518.9399013519287
INST_DAYS_ENTRY_PAYMENT_COUNT,509.5673027038574
HOUSETYPE_MODE_specific_housing,508.7630081176758
BUREAU_CNT_CREDIT_PROLONG_MEAN,506.42340087890625
NAME_HOUSING_TYPE_Rented_apartment,505.4560966491699
REG_CITY_NOT_WORK_CITY,487.3511047363281
NAME_TYPE_SUITE_Unaccompanied,473.6152038574219
CNT_CHILDREN,458.57940673828125
PREV_RATE_INTEREST_PRIMARY_MEAN,454.6213035583496
